unit_id,unit_name,region,period,pop_start,pop_end,births_est,deaths_est,natural_increase,net_migration,netmig_rate_per_1000_yr,flag
17052,Oriental Mindoro,MIMAROPA Region,2020-2024,908339.0,919504.0,50138.7,25105.4,25033.3,-13868.3,-3.64,
08060,Samar,Region VIII (Eastern Visayas),2020-2024,793183.0,806179.0,45446.7,20370.8,25075.9,-12079.9,-3.63,
05062,Sorsogon,Region V (Bicol Region),2020-2024,828655.0,845066.0,54266.0,26042.9,28223.1,-11812.1,-3.39,
08048,Northern Samar,Region VIII (Eastern Visayas),2020-2024,639186.0,645789.0,31892.9,16475.7,15417.1,-8814.1,-3.29,
01055,Pangasinan,Region I (Ilocos Region),2020-2024,3163190.0,3188540.0,173266.0,105513.7,67752.2,-42402.2,-3.2,
09072,Zamboanga del Norte,Region IX (Zamboanga Peninsula),2020-2024,1047455.0,1067067.0,60982.4,27777.3,33205.2,-13593.2,-3.09,
03077,Aurora,Region III (Central Luzon),2020-2024,235750.0,240824.0,14378.8,6245.6,8133.2,-3059.2,-3.08,
11082,Davao de Oro,Region XI (Davao Region),2020-2024,767547.0,783775.0,47950.0,22243.5,25706.6,-9478.6,-2.93,
11023,Davao del Norte,Region XI (Davao Region),2020-2024,1125057.0,1143931.0,66434.7,33772.6,32662.1,-13788.1,-2.92,
04056,Quezon,Region IV-A (CALABARZON),2020-2024,1950459.0,1980338.0,111586.5,57871.5,53715.0,-23836.0,-2.91,
01033,La Union,Region I (Ilocos Region),2020-2024,822352.0,825072.0,39249.4,26564.3,12685.1,-9965.1,-2.9,
1381600000,City of Valenzuela,National Capital Region (NCR),2020-2024,714978.0,725173.0,36424.9,18707.4,17717.5,-7522.5,-2.51,
07022,Cebu,Region VII (Central Visayas),2020-2024,3325385.0,3400522.0,204148.4,95528.1,108620.3,-33483.3,-2.39,
02009,Batanes,Region II (Cagayan Valley),2020-2024,18831.0,18937.0,1005.3,730.7,274.6,-168.6,-2.14,
10013,Bukidnon,Region X (Northern Mindanao),2020-2024,1541308.0,1601902.0,112382.4,39213.0,73169.4,-12575.4,-1.92,
1380900000,City of Navotas,National Capital Region (NCR),2020-2024,247543.0,252878.0,14862.9,7576.2,7286.7,-1951.7,-1.87,
07012,Bohol,Region VII (Central Visayas),2020-2024,1394329.0,1412726.0,73146.5,43875.3,29271.2,-10874.2,-1.86,
1380200000,City of Las Piñas,National Capital Region (NCR),2020-2024,606293.0,615549.0,30855.7,17596.7,13259.1,-4003.1,-1.57,
02015,Cagayan,Region II (Cagayan Valley),2020-2024,1268603.0,1284676.0,63182.2,39103.3,24078.9,-8005.9,-1.5,
11086,Davao Occidental,Region XI (Davao Region),2020-2024,317159.0,317598.0,8578.2,6413.1,2165.1,-1726.1,-1.31,
01029,Ilocos Sur,Region I (Ilocos Region),2020-2024,706009.0,709991.0,31834.8,24105.3,7729.5,-3747.5,-1.27,
11025,Davao Oriental,Region XI (Davao Region),2020-2024,576343.0,590042.0,34101.7,17413.9,16687.8,-2988.8,-1.23,
14011,Benguet,Cordillera Administrative Region (CAR),2020-2024,460683.0,473190.0,25359.3,10626.9,14732.4,-2225.4,-1.14,
12080,Sarangani,Region XII (SOCCSKSARGEN),2020-2024,558946.0,580915.0,36985.9,12528.7,24457.2,-2488.2,-1.05,
1380800000,City of Muntinlupa,National Capital Region (NCR),2020-2024,543445.0,552225.0,25066.0,14057.4,11008.6,-2228.6,-0.98,
1381000000,City of Parañaque,National Capital Region (NCR),2020-2024,689992.0,703245.0,34285.6,18231.8,16053.8,-2800.8,-0.96,
02057,Quirino,Region II (Cagayan Valley),2020-2024,203828.0,210841.0,12983.5,5217.9,7765.7,-752.7,-0.87,
02031,Isabela,Region II (Cagayan Valley),2020-2024,1697050.0,1733048.0,90833.8,48766.5,42067.3,-6069.3,-0.85,
08078,Biliran,Region VIII (Eastern Visayas),2020-2024,179312.0,184095.0,11010.9,5590.5,5420.3,-637.3,-0.84,
04058,Rizal,Region IV-A (CALABARZON),2020-2024,3330143.0,3416541.0,188570.8,90578.9,97991.9,-11593.9,-0.82,
1230800000,City of General Santos,Region XII (SOCCSKSARGEN),2020-2024,697315.0,722059.0,43874.8,17637.5,26237.3,-1493.3,-0.5,
17053,Palawan,MIMAROPA Region,2020-2024,939594.0,968795.0,49296.0,18825.8,30470.2,-1269.2,-0.32,
0831600000,City of Tacloban ,Region VIII (Eastern Visayas),2020-2024,251881.0,259353.0,13877.8,6152.1,7725.7,-253.7,-0.24,
10043,Misamis Oriental,Region X (Northern Mindanao),2020-2024,956900.0,988065.0,60487.4,28347.8,32139.7,-974.7,-0.24,
1380400000,City of Malabon,National Capital Region (NCR),2020-2024,380522.0,389929.0,20977.7,11322.5,9655.2,-248.2,-0.15,
08037,Leyte,Region VIII (Eastern Visayas),2020-2024,1776847.0,1823458.0,99549.9,52268.3,47281.6,-670.6,-0.09,
06030,Iloilo,Region VI (Western Visayas),2020-2024,2051899.0,2082616.0,96289.6,65001.7,31288.0,-571.0,-0.07,
