period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
July - September 2019,"Barangay Apurawan, Municipality of Aborlan, Palawan",Correction of name,1705301003,Aporawan,1705301003,Certification signed by Municipal Mayor dated 21 November 2023,,2001-present,barangay
July - September 2019,"Barangay Apoaporawan, Municipality of Aborlan, Palawan",Correction of name,1705301001,Apo-Aporawan,1705301001,Certification signed by Municipal Mayor dated 21 November 2023,,2001-present,barangay
July - September 2019,"Municipality of Kapalawan, BARMM",Newly created municipality,1999901000,"Carmen Cluster, BARMM",1999901000,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,city_muni
July - September 2019,"Barangay Kib-Ayao, Municipality of Kapalawan, BARMM",Transferred barangay,1999901001,"Carmen Cluster, BARMM",1999901001,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Kitulaan, Municipality of Kapalawan, BARMM",Transferred barangay,1999901002,"Carmen Cluster, BARMM",1999901002,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Langogan, Municipality of Kapalawan, BARMM",Transferred barangay,1999901003,"Carmen Cluster, BARMM",1999901003,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Manarapan, Municipality of Kapalawan, BARMM",Transferred barangay,1999901004,"Carmen Cluster, BARMM",1999901004,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Nasapian, Municipality of Kapalawan, BARMM",Transferred barangay,1999901005,"Carmen Cluster, BARMM",1999901005,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Pebpoloan, Municipality of Kapalawan, BARMM",Transferred barangay,1999901006,"Carmen Cluster, BARMM",1999901006,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Tupig, Municipality of Kapalawan, BARMM",Transferred barangay,1999901007,"Carmen Cluster, BARMM",1999901007,Bangsamoro Autonomy Act No. 45 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Municipality of Old Kaabakan, BARMM",Newly created municipality,1999902000,"Kabacan Cluster, BARMM",1999902000,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,city_muni
July - September 2019,"Barangay Buluan, Municipality of Old Kaabakan, BARMM",Transferred barangay,1999902001,"Kabacan Cluster, BARMM",1999902001,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Nanga-an, Municipality of Old Kaabakan, BARMM",Transferred barangay,1999902002,"Kabacan Cluster, BARMM",1999902002,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Pedtad, Municipality of Old Kaabakan, BARMM",Transferred barangay,1999902003,"Kabacan Cluster, BARMM",1999902003,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Sanggadong, Municipality of Old Kaabakan, BARMM",Transferred barangay,1999902004,"Kabacan Cluster, BARMM",1999902004,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Simbuhay, Municipality of Old Kaabakan, BARMM",Transferred barangay,1999902005,"Kabacan Cluster, BARMM",1999902005,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Simone, Municipality of Old Kaabakan, BARMM",Transferred barangay,1999902006,"Kabacan Cluster, BARMM",1999902006,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Barangay Tamped, Municipality of Old Kaabakan, BARMM",Transferred barangay,1999902007,"Kabacan Cluster, BARMM",1999902007,Bangsamoro Autonomy Act No. 44 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
July - September 2019,"Municipality of Kadayangan, BARMM",Newly created municipality,1999903000,"Midsayap Cluster I, BARMM",1999903000,Bangsamoro Autonomy Act No. 42 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,city_muni
July - September 2019,"Barangay Central Labas, Municipality of Kadayangan, BARMM",Transferred barangay,1999903001,"Midsayap Cluster I, BARMM",1999903001,Bangsamoro Autonomy Act No. 42 dated 15 September 2022; Plebiscite conducted on 13 April 2024,,2001-present,barangay
