period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
October - December 1990,"Bgy. Anabu I-D, Imus, Cavite",Division of barangay,,Bgy. Anabu I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Anabu I-E, Imus, Cavite",Division of barangay,,Bgy. Anabu I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Anabu I-F, Imus, Cavite",Division of barangay,,Bgy. Anabu I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Anabu I-G, Imus, Cavite",Division of barangay,,Bgy. Anabu I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang I-A, Imus, Cavite",Division of barangay,(mother),Bgy. Malagasang I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang I-B, Imus, Cavite",Division of barangay,,Bgy. Malagasang I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang I-C, Imus, Cavite",Division of barangay,,Bgy. Malagasang I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang I-D, Imus, Cavite",Division of barangay,,Bgy. Malagasang I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang I-E, Imus, Cavite",Division of barangay,,Bgy. Malagasang I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang I-F, Imus, Cavite",Division of barangay,,Bgy. Malagasang I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang I-G, Imus, Cavite",Division of barangay,,Bgy. Malagasang I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang II-A, Imus, Cavite",Division of barangay,(mother),Bgy. Malagasang II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang II-B, Imus, Cavite",Division of barangay,,Bgy. Malagasang II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang II-C, Imus, Cavite",Division of barangay,,Bgy. Malagasang II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang II-D, Imus, Cavite",Division of barangay,,Bgy. Malagasang II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang II-E, Imus, Cavite",Division of barangay,,Bgy. Malagasang II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang II-F, Imus, Cavite",Division of barangay,,Bgy. Malagasang II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Malagasang II-G, Imus, Cavite",Division of barangay,,Bgy. Malagasang II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Toclong I-A, Imus, Cavite",Division of barangay,(mother),Bgy. Toclong I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Toclong I-B, Imus, Cavite",Division of barangay,,Bgy. Toclong I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Toclong I-C, Imus, Cavite",Division of barangay,,Bgy. Toclong I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Toclong II-A, Imus, Cavite",Division of barangay,(mother),Bgy. Toclong II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Toclong II-B, Imus, Cavite",Division of barangay,,Bgy. Toclong II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma I, Imus, Cavite",Division of barangay,(mother),Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma II, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma III, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma IV, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma V, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma VI, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma VII, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma VIII, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bayan Luma IX, Imus, Cavite",Division of barangay,,Bgy. Bayan Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tanzang Luma I, Imus, Cavite",Division of barangay,(mother),Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tanzang Luma II, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tanzang Luma III, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tanzang Luma IV, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tanzang Luma V, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tanzang Luma VI, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Mariano Espeleta I, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Mariano Espeleta II, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Mariano Espeleta III, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Southern City, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Buhay na Tubig, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Pinagbuklod, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Magdalo, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Maharlika, Imus, Cavite",Division of barangay,,Bgy. Tanzang Luma,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bagong Silang, Imus, Cavite",Division of barangay,,"Bgy. Tanzang Luma / 
Bgy. Bahayang Pag-asa",,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bucandala I, Imus, Cavite",Division of barangay,(mother),Bgy. Bucandala,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bucandala II, Imus, Cavite",Division of barangay,,Bgy. Bucandala,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bucandala III, Imus, Cavite",Division of barangay,,Bgy. Bucandala,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bucandala IV, Imus, Cavite",Division of barangay,,Bgy. Bucandala,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Bucandala V, Imus, Cavite",Division of barangay,,Bgy. Bucandala,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Carsadang Bago I, Imus, Cavite",Division of barangay,,Bgy. Carsadang Bago,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Carsadang Bago II, Imus, Cavite",Division of barangay,,Bgy. Carsadang Bago,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Pag-asa I, Imus, Cavite",Division of barangay,(mother),Bgy. Pag-asa,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Pag-asa II, Imus, Cavite",Division of barangay,,Bgy. Pag-asa,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Pag-asa III, Imus, Cavite",Division of barangay,,Bgy. Pag-asa,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Palico I, Imus, Cavite",Division of barangay,(mother),Bgy. Palico,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Palico II, Imus, Cavite",Division of barangay,,Bgy. Palico,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Palico III, Imus, Cavite",Division of barangay,,Bgy. Palico,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Palico IV, Imus, Cavite",Division of barangay,,Bgy. Palico,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Pasong Buaya I, Imus, Cavite",Division of barangay,(mother),Bgy. Pasong Buaya,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Pasong Buaya II, Imus, Cavite",Division of barangay,,Bgy. Pasong Buaya,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion I-A, Imus, Cavite",Division of barangay,(mother),Bgy. Poblacion I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion I-B, Imus, Cavite",Division of barangay,,Bgy. Poblacion I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion I-C, Imus, Cavite",Division of barangay,,Bgy. Poblacion I,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion II-A, Imus, Cavite",Division of barangay,(mother),Bgy. Poblacion II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion II-B, Imus, Cavite",Division of barangay,,Bgy. Poblacion II,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion III-A, Imus, Cavite",Division of barangay,(mother),Bgy. Poblacion III,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion III-B, Imus, Cavite",Division of barangay,,Bgy. Poblacion III,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion IV-A, Imus, Cavite",Division of barangay,(mother),Bgy. Poblacion IV,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion IV-B, Imus, Cavite",Division of barangay,,Bgy. Poblacion IV,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion IV-C, Imus, Cavite",Division of barangay,,Bgy. Poblacion IV,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion IV-D, Imus, Cavite",Division of barangay,,Bgy. Poblacion IV,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tabon I, Kawit, Cavite",Division of barangay,(mother),Bgy. Tabon,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tabon II, Kawit, Cavite",Division of barangay,,Bgy. Tabon,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tabon III, Kawit, Cavite",Division of barangay,,Bgy. Tabon,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Binakayan-Kanluran, Kawit, Cavite",Division of barangay,(mother),Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Binakayan-Aplaya, Kawit, Cavite",Division of barangay,,Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Tramo-Bantayan, Kawit, Cavite",Division of barangay,,Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Samala-Marguez, Kawit, Cavite",Division of barangay,,Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Congbalay-Legaspi, Kawit, Cavite",Division of barangay,,Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Pulvorista, Kawit, Cavite",Division of barangay,,Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Balsahan-Bisita, Kawit, Cavite",Division of barangay,,Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Manggahan-Lawin, Kawit, Cavite",Division of barangay,,Bgy. Binakayan,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Wakas I, Kawit, Cavite",Division of barangay,(mother),Bgy. Wakas,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Wakas II, Kawit, Cavite",Division of barangay,,Bgy. Wakas,,,"October 7, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion I-A, Maragondon, Cavite",Division of barangay,(mother),Bgy. Poblacion I,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion I-B, Maragondon, Cavite",Division of barangay,,Bgy. Poblacion I,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion II-A, Maragondon, Cavite",Division of barangay,(mother),Bgy. Poblacion II,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Poblacion II-B, Maragondon, Cavite",Division of barangay,,Bgy. Poblacion II,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Carita I-A, Maragondon, Cavite",Division of barangay,(mother),Bgy. Poblacion II,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Carita I-A, Maragondon, Cavite",Division of barangay,,Bgy. Poblacion II,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. San Miguel I-A, Maragondon, Cavite",Division of barangay,(mother),Bgy. San Miguel I,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. San Miguel I-B, Maragondon, Cavite",Division of barangay,,Bgy. San Miguel I,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Pinagsanhan I-A, Maragondon, Cavite",Division of barangay,(mother),Bgy. Pinagsanhan I,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Pinagsanhan I-B, Maragondon, Cavite",Division of barangay,,Bgy. Pinagsanhan I,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Tulay Silangan, Maragondon, Cavite",Division of barangay,(mother),Bgy. Tulay,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Tulay Kanluran, Maragondon, Cavite",Division of barangay,,Bgy. Tulay,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Bucal III-A, Maragondon, Cavite",Division of barangay,(mother),Bgy. Bucal III,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Bucal III-B, Maragondon, Cavite",Division of barangay,,Bgy. Bucal III,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Bucal IV-A, Maragondon, Cavite",Division of barangay,(mother),Bgy. Bucal IV,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Bucal IV-B, Maragondon, Cavite",Division of barangay,,Bgy. Bucal IV,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Banayad, Mendez, Cavite",Division of barangay,,-not specified-,,,"December 23, 1990",1977-2000,
October - December 1990,"Bgy. Bukal, Mendez, Cavite",Division of barangay,,-not specified-,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Miguel Mojica, Mendez, Cavite",Division of barangay,,-not specified-,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Pulong Mataas, Cavite",Division of barangay,,-not specified-,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Galicia I, Mendez, Cavite",Division of barangay,(mother),Bgy. Galicia,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Galicia II, Mendez, Cavite",Division of barangay,,Bgy. Galicia,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Galicia III, Mendez, Cavite",Division of barangay,,Bgy. Galicia,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Asis I, Mendez, Cavite",Division of barangay,(mother),Bgy. Asis,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Asis II, Mendez, Cavite",Division of barangay,,Bgy. Asis,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Asis III, Mendez, Cavite",Division of barangay,,Bgy. Asis,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Panungyan I, Mendez, Cavite",Division of barangay,(mother),Bgy. Panungyan,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Panungyan II, Mendez, Cavite",Division of barangay,,Bgy. Panungyan,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Anuling Lejos I, Mendez, Cavite",Division of barangay,(mother),Bgy. Anuling Lejos,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Anuling Lejos II, Mendez, Cavite",Division of barangay,,Bgy. Anuling Lejos,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Anuling Cerca I, Mendez, Cavite",Division of barangay,(mother),Bgy. Anuling Cerca,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Anuling Cerca II, Mendez, Cavite",Division of barangay,,Bgy. Anuling Cerca,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Palocpoc I, Mendez, Cavite",Division of barangay,(mother),Bgy. Palocpoc,,,"November 25, 1990",1977-2000,
October - December 1990,"Bgy. Palocpoc II, Mendez, Cavite",Division of barangay,,Bgy. Palocpoc,,,"November 25, 1990",1977-2000,
January - March 1991,"Municipality of General S. K. Pendatun, Maguindanao",New municipality,,Municipality of Buluan,,"MMA Act No. 3 dtd. January 26, 1991","April 7, 1991",1977-2000,
January - March 1991,"Bgy. San Miliano, San Emilio, Ilocos Sur",Newly created barangay,,Bgy. Paltoc,,"SP. Ord. No. 1 dtd. September 11,1990","January 13, 1991",1977-2000,
January - March 1991,"Bgy. Laoag, Aguilar, Pangasinan",Newly created barangay,,Bgy. Pogomboa,,,"January 6, 1991",1977-2000,
January - March 1991,"Bgy. Manlocboc, Aguilar, Pangasinan",Newly created barangay,,Bgy. Baybay,,,"January 6, 1991",1977-2000,
January - March 1991,"Bgy. Panacol, Aguilar, Pangasinan",Newly created barangay,,Bgy. San Jose,,,"January 6, 1991",1977-2000,
January - March 1991,"Bgy. Aniban II, Bacoor, Cavite",Newly created barangay,,Bgy. Aniban I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Aniban III, Bacoor, Cavite",Newly created barangay,,Bgy. Aniban I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Aniban IV, Bacoor, Cavite",Newly created barangay,,Bgy. Aniban I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Aniban V, Bacoor, Cavite",Newly created barangay,,Bgy. Aniban I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Campo Santo, Bacoor, Cavite",Newly created barangay,,Bgy. Daang Balete,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. P. F. Espiritu II, Bacoor, Cavite",Newly created barangay,,Bgy. P. F. Espiritu I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. P. F. Espiritu III, Bacoor, Cavite",Newly created barangay,,Bgy. P. F. Espiritu I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. P. F. Espiritu IV, Bacoor, Cavite",Newly created barangay,,Bgy. P. F. Espiritu I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. P. F. Espiritu V, Bacoor, Cavite",Newly created barangay,,Bgy. P. F. Espiritu I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. P. F. Espiritu VI, Bacoor, Cavite",Newly created barangay,,Bgy. P. F. Espiritu I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. P. F. Espiritu VII, Bacoor, Cavite",Newly created barangay,,Bgy. P. F. Espiritu I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. P. F. Espiritu VIII, Bacoor, Cavite",Newly created barangay,,Bgy. P. F. Espiritu I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Habay II, Bacoor, Cavite",Newly created barangay,,Bgy. Habay I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Ligas II, Bacoor, Cavite",Newly created barangay,,Bgy. Ligas I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Ligas III, Bacoor, Cavite",Newly created barangay,,Bgy. Ligas I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Mabolo II, Bacoor, Cavite",Newly created barangay,,Bgy. Mabolo I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Mabolo III, Bacoor, Cavite",Newly created barangay,,Bgy. Mabolo I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Maliksi II, Bacoor, Cavite",Newly created barangay,,Bgy. Maliksi I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Maliksi III, Bacoor, Cavite",Newly created barangay,,Bgy. Maliksi I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Mambog II, Bacoor, Cavite",Newly created barangay,,Bgy. Mambog I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Mambog III, Bacoor, Cavite",Newly created barangay,,Bgy. Mambog I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Mabog IV, Bacoor, Cavite",Newly created barangay,,Bgy. Mambog I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Mambog V, Bacoor, Cavite",Newly created barangay,,Bgy. Mambog I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Molino II, Bacoor, Cavite",Newly created barangay,,Bgy. Molino I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Molino III, Bacoor, Cavite",Newly created barangay,,Bgy. Molino I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Molino IV, Bacoor, Cavite",Newly created barangay,,Bgy. Molino I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Molino V, Bacoor, Cavite",Newly created barangay,,Bgy. Molino I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Molino VI, Bacoor, Cavite",Newly created barangay,,Bgy. Molino I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Molino VII, Bacoor, Cavite",Newly created barangay,,Bgy. Molino I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Niog II, Bacoor, Cavite",Newly created barangay,,Bgy. Niog I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Niog III, Bacoor, Cavite",Newly created barangay,,Bgy. Niog I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Real II, Bacoor, Cavite",Newly created barangay,,Bgy. Real I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Salinas II, Bacoor, Cavite",Newly created barangay,,Bgy. Salinas,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Salinas III, Bacoor, Cavite",Newly created barangay,,Bgy. Salinas,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Salinas IV, Bacoor, Cavite",Newly created barangay,,Bgy. Salinas,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. San Nicolas II, Bacoor, Cavite",Newly created barangay,,Bgy. San Nicolas,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. San Nicolas III, Bacoor, Cavite",Newly created barangay,,Bgy. San Nicolas,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Talaba II, Bacoor, Cavite",Newly created barangay,,Bgy. Talaba,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Talaba III, Bacoor, Cavite",Newly created barangay,,Bgy. Talaba,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Talaba IV, Bacoor, Cavite",Newly created barangay,,Bgy. Talaba,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Talaba V, Bacoor, Cavite",Newly created barangay,,Bgy. Talaba,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Talaba VI, Bacoor, Cavite",Newly created barangay,,Bgy. Talaba,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Talaba VII, Bacoor, Cavite",Newly created barangay,,Bgy. Talaba,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Zapote II, Bacoor, Cavite",Newly created barangay,,Bgy. Zapote,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Zapote III, Bacoor, Cavite",Newly created barangay,,Bgy. Zapote,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Zapote IV, Bacoor, Cavite",Newly created barangay,,Bgy. Zapote,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Zapote V, Bacoor, Cavite",Newly created barangay,,Bgy. Zapote,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Poblacion II, Gen. E. Aguinaldo, Cavite",Newly created barangay,,Bgy. Poblacion I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Poblacion III, Gen. E. Aguinaldo, Cavite",Newly created barangay,,Bgy. Poblacion I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Poblacion IV, Gen. E. Aguinaldo, Cavite",Newly created barangay,,Bgy. Poblacion I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Buna Lejos II, Indang, Cavite",Newly created barangay,,Bgy. Buna Lejos I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Daine II, Indang, Cavite",Newly created barangay,,Bgy. Daine II,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Kayquit II, Indang, Cavite",Newly created barangay,,Bgy. Kayquit I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Kayquit III, Indang, Cavite",Newly created barangay,,Bgy. Kayquit I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Kaytapos, Indang, Cavite",Newly created barangay,,,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Mataas na Lupa (Checkpoint), Indang, Cavite",Newly created barangay,,,,,"February 17, 1991",1977-2000,
January - March 1991,"Bgy. Bendita II, Magallanes, Cavite",Newly created barangay,,Bgy. Bendita I,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. San Agustin, Magallanes, Cavite",Newly created barangay,,,,,"January 13, 1991",1977-2000,
January - March 1991,"Bgy. Anahaw II, Silang, Cavite",Newly created barangay,,Bgy. Anahaw,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Narra II, Silang, Cavite",Newly created barangay,,Bgy. Narra,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. San Miguel II, Silang, Cavite",Newly created barangay,,Bgy. San Miguel I,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. San Vicente, Silang, Cavite",Newly created barangay,,Bgy. San Vicente I,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Toledo, Silang, Cavite",Newly created barangay,,Bgy. Malabag,,SP Res. No. 01-5-91 dtd. 1-3-91,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Tubuan II, Silang, cavite",Newly created barangay,,Bgy. Tubuan,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Tubuan III, Silang, cavite",Newly created barangay,,Bgy. Tubuan,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Biga II, Silang, Cavite",Newly created barangay,,Bgy. Biga,,SP Res. No. 02-5-91 dtd. 1-10-91,"February 17, 1991",1977-2000,
January - March 1991,"Bgy. Pooc II, Silang, Cavite",Newly created barangay,,Bgy. Pooc,,,"February 17, 1991",1977-2000,
January - March 1991,"Bgy. Calabuso North, Tagaytay City, Cavite",Newly created barangay,,Bgy. Calabuso South,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Dapdap East, Tagaytay City, Cavite",Newly created barangay,,Bgy. Dapdap West,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Guinhawa North, Tagaytay City, Cavite",Newly created barangay,,Bgy. Guinhawa South,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Iruhin South, Tagaytay City, Cavite",Newly created barangay,,Bgy. Iruhin North,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Kaybagal East, Tagaytay City, Cavite",Newly created barangay,,Bgy. Kaybagal West,,,"January 27, 1991",1977-2000,
January - March 1991,"Bgy. Maharlika East, Tagaytay City, Cavite",Newly created barangay,,Bgy. Maharlika West,,,"January 27, 1991",1977-2000,
