"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"......San Nicolas",78,38,40,257,132,125
"......San Pascual",863,459,404,859,460,399
"......Santa Teresita",16,8,8,191,94,97
"......City of Sto. Tomas",1272,690,582,2848,1509,1339
"......Taal",507,260,247,770,394,376
"......Talisay",518,258,260,594,299,295
"......City of Tanauan",3237,1661,1576,2813,1443,1370
"......Taysan",37,15,22,516,273,243
"......Tingloy",45,18,27,135,65,70
"......Tuy",666,339,327,592,309,283
"....CAVITE",48544,24848,23696,57275,29471,27804
"......Alfonso",154,87,67,826,410,416
"......Amadeo",137,74,63,484,249,235
"......City of Bacoor",7281,3684,3597,8002,4088,3914
"......Carmona",646,346,300,1467,761,706
"......City of Cavite",991,514,477,1215,625,590
"......City of Dasmariñas",8405,4322,4083,9034,4622,4412
"......Gen. Mariano Alvarez",1298,654,644,2425,1224,1201
"......General Emilio Aguinaldo",333,155,178,303,150,153
"......City of General Trias",4539,2323,2216,6075,3149,2926
"......City of Imus",4216,2169,2047,5277,2759,2518
"......Indang",402,192,210,889,440,449
"......Kawit",1050,548,502,1227,674,553
"......Magallanes",152,81,71,381,202,179
"......Maragondon",389,181,208,633,334,299
"......Mendez (Mendez-Nuñez)",183,93,90,372,183,189
"......Naic",2877,1514,1363,3157,1664,1493
"......Noveleta",620,289,331,546,270,276
"......Rosario",519,274,245,1617,808,809
"......Silang",3702,1859,1843,3994,2065,1929
"......City of Tagaytay",769,400,369,1000,500,500
"......Tanza",2856,1485,1371,4709,2456,2253
"......Ternate",96,52,44,397,202,195
"......City of Trece Martires (Capital)",6929,3552,3377,3245,1636,1609
"....LAGUNA",43896,22969,20927,44575,23338,21237
"......Alaminos",177,96,81,688,355,333
"......Bay",996,534,462,1026,546,480
"......City of Biñan",5568,2912,2656,5378,2815,2563
"......City of Cabuyao",3957,2070,1887,4541,2362,2179
"......City of Calamba",9269,4866,4403,7708,4041,3667
"......Calauan",543,264,279,1156,578,578
"......Cavinti",49,23,26,310,155,155
"......Famy",167,84,83,307,167,140
"......Kalayaan",238,138,100,345,196,149
"......Liliw",198,98,100,466,239,227
"......Los Baños",936,506,430,1451,772,679
"......Luisiana",444,218,226,272,138,134
"......Lumban",90,46,44,440,234,206
"......Mabitac",163,98,65,344,200,144
"......Magdalena",84,38,46,415,224,191
"......Majayjay",329,172,157,349,190,159
